,user_id,chat_id,message,spam
0,75463242,35346353,Добрый день всем!,0
1,4353412412,3453453443,Как вы себя чувствуете?,0
2,423534,5234,Как твоя мать поживает?,1
3,432534,53453,Ты уебище,1
4,6456342423,324234234,Мразота,1
5,34645523,345345435,Хуесосина и пидорас,1
46,448233433,-1001171769456,Пенис детров,0
47,448233433,-1001171769456,Все ок,0
48,448233433,-1001171769456,Так я мыться пока,0
49,448233433,-1001171769456,обучай,0
50,448233433,-1001171769456,я скоро вернусь,0
51,461468765,-1001171769456,пенис детров это 0 а у тебя все ок,0
52,461468765,-1001171769456,я те смс возьму мне похуй,0
53,461468765,-1001171769456,хотя я его зарейтлимичу,0
15,448233433,-1001171769456,пидорас,1
16,448233433,-1001171769456,все ок,0
17,448233433,-1001171769456,Да ебать поч нет,0
18,448233433,-1001171769456,А бля знаешь почему,0
19,448233433,-1001171769456,Потому что у меня обновляется тупо а это сообщение никто не писал,1
20,461468765,-1001171769456,а ну а ну,0
21,448233433,-1001171769456,вот почему,0
22,461468765,-1001171769456,что,0
23,448233433,-1001171769456,Ну ладно я просто инсерт буду делать,0
24,461468765,-1001171769456,что блять,0
25,461468765,-1001171769456,а ладно хуй с тобой,0
26,461468765,-1001171769456,хм хмхмхммх,0
27,448233433,-1001171769456,такие пироги,0
28,448233433,-1001171769456,ебать ну ты дура конечно,0
29,448233433,-1001171769456,норм рандом стейт,0
30,461468765,-1001171769456,прив,0
31,448233433,-1001171769456,ПРОДАМ МАТЬ,1
32,448233433,-1001171769456,норм,0
33,448233433,-1001171769456,ПРОДАМ ОТЦА,1
34,461468765,-1001171769456,о ты кодишь,0
35,384327785,-1001171769456,я кожу,0
36,461468765,-1001171769456,я стой я так и не а ладно,0
37,384327785,-1001171769456,я делаю нам адекватное логирование,0
38,384327785,-1001171769456,блять точно,0
39,384327785,-1001171769456,надо же писать комменты,0
40,384327785,-1001171769456,ты же читать будешь,0
41,384327785,-1001171769456,ёбаный в рот,0
42,461468765,-1001171769456,хм надо бы как тольк аа абажажажажажажаж,0
43,384327785,-1001171769456,готово,0
44,384327785,-1001171769456,теперь ты поймёшь,0
45,461468765,-1001171769456,ой эти ваши f пидорские,0
46,448233433,-1001171769456,лучше чем fun,0
47,448233433,-1001171769456,ааа,0
48,448233433,-1001171769456,ты про это,0
49,448233433,-1001320023331,jchog,0
50,384327785,-1001171769456,всё наоборот,0
51,461468765,-1001171769456,да приебался к ебукакназвать,0
52,461468765,-1001171769456,всмы,0
53,415364816,-1001171769456,"eval

for c in rangeordа ordя  1
    await messageeditchrc
    await await messagereplyaddspamdelete",0
54,448233433,-1001320023331,jdg,0
55,461468765,-1001171769456,сука долбень,0
56,448233433,-1001320023331,jnggg,1
57,461468765,-1001171769456,пизда,0
58,415364816,-1001171769456,Тест,0
59,448233433,-1001320023331,yygg,1
60,461468765,-1001171769456,пиздец,0
61,448233433,-1001320023331,hggi,1
62,415364816,-1001171769456,Бля,0
63,448233433,-1001320023331,ug,1
64,415364816,-1001171769456,теаст,0
65,461468765,-1001171769456,а,0
66,415364816,-1001171769456,ачо,0
67,415364816,-1001171769456,"for c in rangeordа ordя  1
    await messageeditchrc
    await await messagereplyaddspamdelete",0
68,461468765,-1001171769456,не надо,0
69,415364816,-1001171769456,Это ж правильно должно работать,0
70,415364816,-1001171769456,я уже запускал,0
71,461468765,-1001171769456,я увидел,0
72,415364816,-1001171769456,Бот не робит так,0
73,415364816,-1001171769456,Почему,0
74,461468765,-1001171769456,робит,0
75,415364816,-1001171769456,Я надеялся что это будет  более сайлент,0
76,384327785,-1001171769456,удаляй питон,1
77,384327785,-1001171769456,ок,0
78,461468765,-1001171769456,с ключом сидишь да,0
79,415364816,-1001171769456,всм,0
80,415364816,-1001171769456,Нет же,0
81,384327785,-1001171769456,дада,0
82,384327785,-1001171769456,на 3 месяца,0
83,415364816,-1001171769456,а,0
84,448233433,-1001171769456,гага,0
85,415364816,-1001171769456,а,0
86,384327785,-1001171769456,на ВСЕ продукты,0
87,384327785,-1001171769456,эххх,0
88,461468765,-1001171769456,голандер ясно,0
89,384327785,-1001171769456,не жизнь а сказка,0
90,384327785,-1001171769456,спасибо кирюше,0
91,415364816,-1001171769456,Понимаешь,0
92,461468765,-1001171769456,не понимаю зачем ты буквы антиспамишь,0
93,415364816,-1001171769456,для теста,0
94,415364816,-1001171769456,чтоб он на все иригерился,0
95,461468765,-1001171769456,да я тебя в рот ебенил знаешь не,0
96,448233433,-1001171769456,мисшаня хуйло,1
97,415364816,-1001171769456,Но это не робит,0
98,415364816,-1001171769456,,0
99,448233433,-1001171769456,ok,0
100,415364816,-1001171769456,почему оно не сработало,0
101,461468765,-1001171769456,once upon a time i decided to wank,1
102,461468765,-1001171769456,да ладно,0
103,448233433,-1001171769456,потому что вес маленькой,0
104,415364816,-1001171769456,а,0
105,461468765,-1001171769456,кирилл,0
106,461468765,-1001171769456,это прогресс,0
107,461468765,-1001171769456,огромный,0
108,415364816,-1001171769456,Вес маленькой,0
109,448233433,-1001171769456,нужно больше текста,0
110,415364816,-1001171769456,ааа,0
111,415364816,-1001171769456,понял,0
112,384327785,-1001171769456,"Language
golang

Source
package main

func main
  nil


Errors
go disabling cache 378806630cachegobuild due to initialization failure mkdir 378806630 permission denied
1411938941sourcego46 use of untyped nil",1
113,415364816,-1001171769456,сколько символов минимум,0
114,384327785,-1001171769456,"Language
golang

Source
package main

import fmt

func main
  fmtPrintlnnil


Errors
go disabling cache 378806630cachegobuild due to initialization failure mkdir 378806630 permission denied
2050422sourcego618 use of untyped nil",1
115,384327785,-1001171769456,а всё ок,0
116,384327785,-1001171769456,я думал ошибок нет,0
117,461468765,-1001171769456,"Language
golang

Source
importfmt
fmtPrintpizda

Errors
cant load package package main
547728803sourcego11 expected package found import",1
118,448233433,-1001171769456,нужны просто сообщения он на самообучении,0
119,461468765,-1001171769456,"Language
golang

Source
package main
importfmt
fmtPrintpizda

Errors
go disabling cache 378806630cachegobuild due to initialization failure mkdir 378806630 permission denied
1691902125sourcego31 syntax error nondeclaration statement outside function body",1
120,448233433,-1001171769456,пжа,0
121,461468765,-1001171769456,у сука,0
122,384327785,-1001171769456,func main,1
123,461468765,-1001171769456,непитон,0
124,415364816,-1001171769456,немного не понимаю как он работает,0
125,461468765,-1001171769456,я знаю а вдруг он уже это самое всё,0
126,415364816,-1001171769456,типо addspam,0
127,461468765,-1001171769456,оказалось нет,0
128,415364816,-1001171769456,должен добавлять слово тригер,0
129,448233433,-1001171769456,нет,0
130,384327785,-1001171769456,так можно но только в httpsgithubcomtraefikyaegi,1
131,448233433,-1001171769456,он добавит больше веса,0
132,415364816,-1001171769456,а понял,0
133,384327785,-1001171769456,бля хочу немного в ноду вернуться,0
134,384327785,-1001171769456,хз мне чёт нравится нода,0
135,448233433,-1001171769456,и если будет десять сообщениц где будет слово пидр  то это будет тру,0
136,461468765,-1001171769456,"Language
golang

Source
package main
importfmt
func main
fmtPrintpizda


Warnings
go disabling cache 378806630cachegobuild due to initialization failure mkdir 378806630 permission denied

Result
pizda",1
137,448233433,-1001171769456,спам,1
138,461468765,-1001171769456,ты чоооо,0
139,448233433,-1001171769456,fdpdpdpd,1
